"Korporat Code","Previous Korporat Code","Transition Status","Batch Split","Production Start Date","Production End Date","Purchase Start Date","Purchase End Date","Supplier Text","Previous Supplier Text","State"
"DUS-IML12R2-W","DUS-IML12R1-WILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-IMLC0114R1-MOILD","DUS-IMLC0114-MOILD","Flow Through","no","2021-12-27","","2021-08-17","","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Confirmed"
"DUS-IMLC1520R1-MOILD","DUS-IMLC1520-MOILD","Flow Through","no","2021-12-27","","2021-08-17","","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Confirmed"
"DUS-ISCEPR2-W","DUS-ISCEPR1-WICHD","Immediately","no","","","","","PURA BARUTAMA, PT (OFFSET)","PURA BARUTAMA, PT (OFFSET)","Draft"
"DUS-LBBCL30CR1-WILD","DUS-LBBCL30C-WILD","Flow Through","no","2021-12-27","","2021-08-17","","PRINTINDO UTAMA, PT","PRINTINDO UTAMA, PT","Confirmed"
"DUS-LBBCN30CR1-WILD","DUS-LBBCN30C-WILD","Flow Through","no","2021-12-27","","2021-08-17","","PRINTINDO UTAMA, PT","PRINTINDO UTAMA, PT","Confirmed"
"DUS-LMP1R2-W","DUS-LMP1R1-W","Flow Through","yes","2021-12-27","","2021-06-08","","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Confirmed"
"DUS-LMP1R3-W","DUS-LMP1R2-W","Flow Through","yes","2021-12-27","","2021-11-08","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-LMP2R2-W","DUS-LMP2R1-W","Flow Through","yes","2021-12-27","","2021-06-08","","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","KALINGGA JAYA PRIMA, PT","Confirmed"
"DUS-LMP2R3-W","DUS-LMP2R2-W","Flow Through","yes","2021-12-27","","2021-11-08","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-LMP3R2-W","DUS-LMP3R1-W","Flow Through","yes","2021-12-27","","2021-06-08","","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","","Confirmed"
"DUS-LMP3R3-W","DUS-LMP3R2-W","Flow Through","yes","2021-12-27","","2021-11-08","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-LMP4R2-W","DUS-LMP4R1-W","Flow Through","yes","2021-12-27","","2021-06-08","","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","KALINGGA JAYA PRIMA, PT","Confirmed"
"DUS-LMP4R3-W","DUS-LMP4R2-W","Flow Through","yes","2021-12-27","","2021-11-08","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-LPE01R3-W","DUS-LPE01R2-W","Flow Through","no","2021-12-27","","2021-10-11","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Confirmed"
"DUS-LPE02R3-W","DUS-LPE02R2-W","Flow Through","no","","","2022-04-08","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-LPE03R3-W","DUS-LPE03R2-W","Flow Through","no","2021-12-27","","2021-10-11","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA, CV","Confirmed"
"DUS-LPE04R3-W","DUS-LPE04R2-W","Flow Through","no","2021-12-27","","2021-10-11","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Confirmed"
"DUS-LPL01R2-W","DUS-LPL01R1-W","Flow Through","no","2021-12-27","","2021-10-11","","KALINGGA JAYA PRIMA, PT; PRINTINDO UTAMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Confirmed"
"DUS-LPL02R2-W","DUS-LPL02R1-W","Flow Through","no","2021-12-27","","2021-10-11","","KALINGGA JAYA PRIMA, PT; PRINTINDO UTAMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Confirmed"
"DUS-LPL03R2-W","DUS-LPL03R1-W","Flow Through","no","2021-12-27","","2021-10-11","","KALINGGA JAYA PRIMA, PT; PRINTINDO UTAMA, PT","KALINGGA JAYA PRIMA, PT","Confirmed"
"DUS-LPL04R2-W","DUS-LPL04R1-W","Flow Through","no","2021-12-27","","2021-10-11","","KALINGGA JAYA PRIMA, PT; PRINTINDO UTAMA, PT","KALINGGA JAYA PRIMA, PT","Confirmed"
"DUS-LPL05R2-W","DUS-LPL05R1-W","Flow Through","no","2021-12-27","","2021-10-12","","KALINGGA JAYA PRIMA, PT; PRINTINDO UTAMA, PT","KALINGGA JAYA PRIMA, PT","Confirmed"
"DUS-LPL06R2-W","DUS-LPL06R1-W","Flow Through","no","2021-12-27","","2021-10-12","","KALINGGA JAYA PRIMA, PT; PRINTINDO UTAMA, PT","","Confirmed"
"DUS-LPL07R2-W","DUS-LPL07R1-W","Flow Through","no","2021-12-27","","2021-10-12","","KALINGGA JAYA PRIMA, PT; PRINTINDO UTAMA, PT","","Confirmed"
"DUS-LPRL01R2-W","DUS-LPRL01R1-W","Flow Through","no","2021-12-27","","2021-12-23","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV; PURA BARUTAMA, PT (OFFSET)","Draft"
"DUS-LPRL02R2-W","DUS-LPRL02R1-W","Flow Through","no","2021-12-27","","2021-12-23","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV; PURA BARUTAMA, PT (OFFSET)","Draft"
"DUS-LPRL03R2-W","DUS-LPRL03R1-W","Flow Through","no","2021-12-27","","2021-12-23","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV; PURA BARUTAMA, PT (OFFSET)","Draft"
"DUS-LPRL04R2-W","DUS-LPRL04R1-W","Flow Through","no","2021-12-27","","2021-12-23","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV; PURA BARUTAMA, PT (OFFSET)","Draft"
"DUS-LPRL05R2-W","DUS-LPRL05R1-W","Flow Through","no","2021-12-27","","2021-12-23","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; PURA BARUTAMA, PT (OFFSET)","Draft"
"DUS-LPRL06R2-W","DUS-LPRL06R1-W","Flow Through","no","2021-12-27","","2021-12-23","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; PURA BARUTAMA, PT (OFFSET)","Draft"
"DUS-LPRL07R2-W","DUS-LPRL07R1-W","Flow Through","no","2021-12-27","","2021-12-23","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; PURA BARUTAMA, PT (OFFSET)","Draft"
"DUS-LSA30R1-W","DUS-LSA30R0-W","Immediately","no","2021-12-27","2021-07-19","2021-04-29","","ASTI INDOGRAPH, PT","ASTI INDOGRAPH, PT","Draft"
"DUS-MP01SRR3-E","DUS-MP01SRR2-E","Flow Through","yes","2021-12-27","","2021-12-02","","INDAH KENCANA, CV","INDAH KENCANA, CV","Confirmed"
"DUS-MP02SGR3-E","DUS-MP02SGR2-E","Flow Through","yes","2021-12-27","","2021-12-02","","INDAH KENCANA, CV","INDAH KENCANA, CV","Confirmed"
"DUS-MP03SMR3-E","DUS-MP03SMR2-E","Flow Through","yes","2021-12-27","","2021-12-02","","INDAH KENCANA, CV","INDAH KENCANA, CV","Confirmed"
"DUS-MP04SIR3-E","DUS-MP04SIR2-E","Immediately","yes","2021-12-27","","2021-12-02","","INDAH KENCANA, CV","INDAH KENCANA, CV","Draft"
"DUS-MP05SUR2-E","DUS-MP05SUR1-E","Flow Through","yes","2021-12-27","","2021-12-02","","INDAH KENCANA, CV","INDAH KENCANA, CV","Confirmed"
"DUS-MP06SAR2-E","DUS-MP06SAR1-E","Flow Through","yes","2021-12-27","","2021-12-02","","INDAH KENCANA, CV","INDAH KENCANA, CV","Confirmed"
"DUS-MPASSGR1-ELG","DUS-MPASSGR0-ELG","Flow Through","yes","","","2022-08-31","","INDAH KENCANA, CV","INDAH KENCANA, CV","Draft"
"DUS-NPSS40R1-E","DUS-NPSS40R0-E","Flow Through","yes","2021-12-27","","2021-12-06","","ASTI INDOGRAPH, PT","ASTI INDOGRAPH, PT","Confirmed"
"DUS-PBTUC20R3-W","DUS-PBTUC20R2-W","Flow Through","yes","2021-12-27","","2021-11-24","","PRINTINDO UTAMA, PT","","Draft"
"DUS-PLGMR3-MOILD","DUS-PLGMR2-MOILD","Immediately","no","","","2022-01-05","","KALINGGA JAYA PRIMA, PT","","Draft"
"DUS-PLTCR1-MO","DUS-PLTCR0-MO","Flow Through","yes","2021-12-27","","2021-06-10","","INDAH KENCANA, CV","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Confirmed"
"DUS-PLTCR2-MO","DUS-PLTCR1-MO","Flow Through","no","2021-12-27","","2021-10-22","","INDAH KENCANA, CV","INDAH KENCANA, CV","Confirmed"
"DUS-PPESBRR1-E","DUS-PRPESBR-EILD","Flow Through","no","","","2022-03-10","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-PPESCOR1-E","DUS-PRPESC-EILD","Flow Through","no","","","2022-03-10","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-PPESNUR1-E","DUS-PRPESN-EACLD","Flow Through","no","","","2022-03-10","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-PPESROR1-E","DUS-PRPESR-EILD","Flow Through","no","","","2022-03-10","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-PPFR1-MO","DUS-PPFR0-MO","Flow Through","no","2021-12-27","","2021-12-09","","PRINTINDO UTAMA, PT","PRINTINDO UTAMA, PT","Draft"
"DUS-PSPFR1-W","DUS-PSPFR0-W","Immediately","no","2021-12-27","","2021-10-05","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-PTCLCALLR1-MO","DUS-PTCLCR0-MOILD","Flow Through","yes","","","2022-03-02","","INDAH KENCANA, CV","","Draft"
"DUS-PUGHR1-MO","DUS-PUGHR0-MOILD","Flow Through","yes","","","","","","KALINGGA JAYA, CV","Draft"
"DUS-PVLSPUR1-MO","DUS-PVLSR1-MO","Flow Through","yes","","","2022-02-17","","PRINTINDO UTAMA, PT","","Draft"
"DUS-SFLPR2-E","DUS-SFLPR1-EILG","Immediately","yes","2021-12-27","","2021-06-09","","INDAH KENCANA, CV","INDAH KENCANA, CV","Confirmed"
"DUS-SLCR3-EIVD","DUS-SLCR2-EIVD","Flow Through","no","2021-12-27","","2021-08-17","","INDAH KENCANA, CV","INDAH KENCANA, CV","Confirmed"
"DUS-SLLR3-EIVD","DUS-SLLR2-EIVD","Flow Through","no","2021-12-27","","2021-08-17","","INDAH KENCANA, CV","INDAH KENCANA, CV","Confirmed"
"DUS-SMUBAR1-E","DUS-SMUBAR0-E","Flow Through","no","","","2022-04-19","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-SMUBCR1-E","DUS-SMUBCR0-E","Flow Through","no","","","2022-04-19","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-SMUBWR1-E","DUS-SMUBWR0-E","Flow Through","no","","","2022-04-19","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-SMULCCR1-E","DUS-SMULCCR0-E","Flow Through","no","","","","","","PRINTINDO UTAMA, PT","Draft"
"DUS-SMULCLR1-E","DUS-SMULCLR0-E","Flow Through","no","","","","","","PRINTINDO UTAMA, PT","Draft"
"DUS-SMULCNR1-E","DUS-SMULCNR0-E","Flow Through","no","","","","","","PRINTINDO UTAMA, PT","Draft"
"DUS-SMULG01R1-E","DUS-SMULG01R0-E","Flow Through","no","2021-12-27","","2021-08-17","","PRINTINDO UTAMA, PT","PRINTINDO UTAMA, PT","Confirmed"
"DUS-SMULG02R1-E","DUS-SMULG02R0-E","Flow Through","no","2021-12-27","","2021-08-17","","PRINTINDO UTAMA, PT","PRINTINDO UTAMA, PT","Confirmed"
"DUS-SMULM01R1-E","DUS-SMULM01R0-E","Flow Through","no","","","","","PRINTINDO UTAMA, PT","PRINTINDO UTAMA, PT","Draft"
"DUS-SMULM02R1-E","DUS-SMULM02R0-E","Flow Through","no","","","","","PRINTINDO UTAMA, PT","PRINTINDO UTAMA, PT","Draft"
"DUS-SMULM03R1-E","DUS-SMULM03R0-E","Flow Through","no","","","","","PRINTINDO UTAMA, PT","PRINTINDO UTAMA, PT","Draft"
"DUS-SMULM04R1-E","DUS-SMULM04R0-E","Flow Through","no","","","","","PRINTINDO UTAMA, PT","PRINTINDO UTAMA, PT","Draft"
"DUS-SRGFHR0-MO","BOX-CSMRGFHR0-MO","Interchangeable","yes","","","2022-04-08","","ADHINATA KARYA, PT","ADHINATA KARYA, PT","Draft"
"DUS-TESR2-MO","DUS-ESTRIMOR1-I337","Flow Through","no","","","2022-03-10","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-TPSMR1-K","DUS-TPSMR0-K","Immediately","no","2021-12-27","","2021-07-06","","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"ELL-EOHBLR3-WPP","ELL-EOHBLR2-WPP","Flow Through","no","","","2022-06-20","","ELEGANT BEST INVESTMENT LTD.","ELEGANT BEST INVESTMENT LTD.","Draft"
"ENV-NFSOACFWR1-K","ENV-NFSOACFW-K","Immediately","no","2021-12-27","","2021-07-08","","WARNA KREASI SELARAS, PT","WARNA KREASI SELARAS, PT","Draft"
"ENV-NFSSEBFWR1-K","ENV-NFSSEBFW-K","Immediately","no","2021-12-27","","2021-07-08","","WARNA KREASI SELARAS, PT","WARNA KREASI SELARAS, PT","Draft"
"IBOX-RRPMKLCR1-OMG","IBOX-RRPMKLCR0-OMG","Flow Through","yes","","","","","","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV; PT PARAGON TECHNOLOGY AND INNOVATION","Draft"
"IBOX-RRPTMKLCR1-OMG","IBOX-RRPTMKLCR0-OMG","Flow Through","yes","","","","","","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV; PT PARAGON TECHNOLOGY AND INNOVATION","Draft"
"INSE-ICPTR4-MO59","INSE-ICPTR3-MO59","Flow Through","yes","2021-12-27","","2021-09-09","","WARNA KREASI SELARAS, PT","KRISANTHIUM OFFSET PRINTING, PT","Draft"
"ISPO-HLGCR1-MO","ISPO-HLGCR0-MO","Flow Through","","2021-12-27","","2021-06-04","","SUZHOU JESPON COSMETIC ACCESSORY CO.,LTD","SUZHOU JESPON COSMETIC ACCESSORY CO.,LTD","Draft"
"KB-PBCR1-W","KB-POBC4352-K150M4BC","Flow Through","no","2021-12-27","","2021-12-07","","CARTONINDUS SUMBER JAYA, PT","INTERPACK RAYA, PT","Draft"
"KB-WPHR2-W","KB-WPHR1I48-635K150","Flow Through","no","2021-12-27","","2021-12-07","","CARTONINDUS SUMBER JAYA, PT","INTERPACK RAYA, PT","Draft"
"LACL-01EXMOR1-X","LACL-01EXMOR0-X","Immediately","no","","","","","","","Draft"
"LACL-02FLMOR1-X","LACL-02FLMOR0-X","Immediately","no","","","","","","","Draft"
"LACL-05PUMOR1-X","LACL-05PUMOR0-X","Immediately","no","","","","","","","Draft"
"PAP-LSAR0-WPET","PAP-LSAR0-WPVC","Flow Through","no","2021-12-27","","2021-10-19","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"PAP-UVSESGR5-W","PAP-UVSESGR4-W","Immediately","no","2021-12-27","","2021-07-23","","ASTI INDOGRAPH, PT; KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","ASTI INDOGRAPH, PT","Draft"
"PAP-UVSESGR5-WKJ","PAP-UVSESGR4-W","Immediately","no","","","2022-02-16","","KALINGGA JAYA PRIMA, PT","ASTI INDOGRAPH, PT","Draft"
"PAP-UVSSR1-W","PAP-UVSSR0-W","Immediately","yes","2021-12-27","","2021-06-07","","INDAH KENCANA, CV","INDAH KENCANA, CV","Confirmed"
"PAPR-KPHVSA4-X","PAPR-KPDCS-W","Interchangeable","yes","2021-12-27","","2021-06-02","","DATASCRIP, PT","DATASCRIP, PT","Draft"
"PART-DRYTER1-W","PART-DRYTER0-WI","Flow Through","yes","2021-12-27","","2021-08-16","","DNP INDONESIA, PT","PURA BARUTAMA, PT (OFFSET)","Draft"
"PLAS-DM55R0-W","PLAS-DMCTWCRP-P85","Flow Through","no","","","2022-04-19","","WIRA MANDIRI MAKMUR, PT","FORMINDO PRIMA AGUNG, PT; WIRA MANDIRI MAKMUR, PT","Draft"
"PLAS-DM58R0-W","PLAS-DMTWCLWNL-D5808","Flow Through","no","","","2022-02-09","","WIRA MANDIRI MAKMUR, PT","FORMINDO PRIMA AGUNG, PT; WIRA MANDIRI MAKMUR, PT","Draft"
"PLAS-DM60R0-W","PLAS-DMTWCEWNL-D608M","Flow Through","no","","","2022-04-19","","WIRA MANDIRI MAKMUR, PT","FORMINDO PRIMA AGUNG, PT; WIRA MANDIRI MAKMUR, PT","Draft"
"PLAS-DM62R0-P","PLAS-DML150-D62P","Flow Through","no","","","","","","PUTRA MAS PERDANA","Draft"
"PLAS-DMBOPR0-MO","PLAS-DMBOPMO-PVC0109","Flow Through","no","","","2022-02-09","","WIRA MANDIRI MAKMUR, PT","WIRA MANDIRI MAKMUR, PT","Draft"
"PLAS-DMESBOR0-E","PLAS-DMBOSC-3159","Flow Through","no","","","2022-02-09","","WIRA MANDIRI MAKMUR, PT","WIRA MANDIRI MAKMUR, PT","Draft"
"PLAS-DMESBOR0-MO","PLAS-DMESMO-PVC01051","Flow Through","no","","","2022-04-19","","WIRA MANDIRI MAKMUR, PT","WIRA MANDIRI MAKMUR, PT","Draft"
"PLAS-DMESBOR0-W","PLAS-DMEESBO-WPVC","Flow Through","no","","","2022-04-19","","WIRA MANDIRI MAKMUR, PT","FORMINDO PRIMA AGUNG, PT","Draft"
"PLAS-DMEXER0-W","PLAS-DMEXEBK-WPVC","Flow Through","no","","","","","","FORMINDO PRIMA AGUNG, PT","Draft"
"PLAS-DMLPR0-W","PLAS-DMLPWNL-T01M115","Flow Through","no","","","","","","PUTRA MAS PERDANA","Draft"
"PLAS-VCSTKR0-W","TRAY-CSRSSKR0-W","Immediately","no","2021-12-27","","2021-06-09","","SINAR GOLDSINDO, PT","","Draft"
"PLAS-VCUVST3I1R0-W","PLAS-VCUVSTR0-W","Immediately","yes","2021-12-27","","2021-08-05","","SINAR GOLDSINDO, PT","SINAR GOLDSINDO, PT","Draft"
"PLU-CDMM30R1-W","PLU-CDMM30R0-W","Immediately","yes","","","","","","NATAMAS PLAST, PT","Draft"
"POT-CTKRC10R1-W","POT-CTKRC10R0-W","Immediately","no","2021-12-27","","2021-12-13","","DERMA KEMAS TEJAHAKARA, PT","DERMA KEMAS TEJAHAKARA, PT","Draft"
"SHIF-BMLPR2-E","SHIF-BMLPR1-EPPN","Immediately","yes","2021-12-27","","2021-05-11","","ALBEA RIGID PACKAGING, PT; TECHPACK ASIA, PT","TIGERMANDIRI PRATAMA, PT","Draft"
"SHIF-SFLPR1-E","SHIF-SFLPR0-EPPN","Immediately","yes","2021-12-27","","2021-05-11","","ALBEA RIGID PACKAGING, PT; TECHPACK ASIA, PT","TIGERMANDIRI PRATAMA, PT","Draft"
"SMAS-NDGTR2-W","SMAS-NDGTR1-W","Immediately","yes","","","","","","","Draft"
"SMAS-NDRCR2-W","SMAS-NDRCR1-W","Immediately","yes","","","","","","","Draft"
"SMAS-NDRSR2-W","SMAS-NDRSR1-W","Immediately","yes","","","","","","","Draft"
"STIC-BAPSR1-MO","STIC-BAPSR0-MO","Immediately","","2021-12-27","","2021-08-31","","PELITA ABADI JAYA, CV","PELITA ABADI JAYA, CV","Draft"
"STIC-BCEBPBLR1-MO","STIC-BCEBPBLMO-PW1W3","Immediately","no","","","","","","THEIA DIGILAB INDONESIA, PT","Draft"
"STIC-BCEBPBTER1-MO","STIC-BCEBPBTEMO-PW1W","Immediately","no","","","","","","THEIA DIGILAB INDONESIA, PT","Draft"
"STIC-BCM16R1-E","STIC-BCM16R0-E","Flow Through","no","","","2022-09-05","","PELITA ABADI JAYA, CV","PELITA ABADI JAYA, CV","Draft"
"STIC-BCM17R1-E","STIC-BCM17R0-E","Flow Through","no","","","2022-09-05","","PELITA ABADI JAYA, CV","PELITA ABADI JAYA, CV","Draft"
"STIC-BCM18R1-E","STIC-BCM18R0-E","Flow Through","no","","","2022-09-05","","PELITA ABADI JAYA, CV","PELITA ABADI JAYA, CV","Draft"
"STIC-BCM19R1-E","STIC-BCM19R0-E","Flow Through","no","","","2022-09-05","","PELITA ABADI JAYA, CV","PELITA ABADI JAYA, CV","Draft"
"STIC-BCMP22NR1-W","STIC-BCMP22NR0-W","Flow Through","no","","","2022-02-23","","MITRA ABADI PRINTING","MITRA ABADI PRINTING","Draft"
"STIC-BCMP23WR1-W","STIC-BCMP23WR0-W","Flow Through","no","","","2022-02-23","","MITRA ABADI PRINTING","MITRA ABADI PRINTING","Draft"
"STIC-BCMP32NR1-W","STIC-BCMP32NR0-W","Flow Through","no","","","2022-02-23","","MITRA ABADI PRINTING","MITRA ABADI PRINTING","Draft"
"STIC-BCSMCGR1-W","STIC-BCSMCGR0-W","Immediately","no","2021-12-27","","2021-08-06","","SATYAMITRA LABELJAYA P., PT","SATYAMITRA LABELJAYA P., PT","Draft"
"STIC-BCULML1R1-W","STIC-BCULML1R0-W","Flow Through","no","","","2022-02-09","","MITRA ABADI PRINTING","MITRA ABADI PRINTING","Draft"
"STIC-BCULML2R1-W","STIC-BCULML2R0-W","Flow Through","no","","","2022-02-09","","MITRA ABADI PRINTING","MITRA ABADI PRINTING","Draft"
"STIC-BCULML3R1-W","STIC-BCULML3R0-W","Flow Through","no","","","2022-02-09","","MITRA ABADI PRINTING","MITRA ABADI PRINTING","Draft"
"STIC-BCULML4R1-W","STIC-BCULML4R0-W","Flow Through","no","","","2022-02-09","","MITRA ABADI PRINTING","MITRA ABADI PRINTING","Draft"
"STIC-BCULML5R1-W","STIC-BCULML5R0-W","Flow Through","no","","","2022-02-09","","MITRA ABADI PRINTING","MITRA ABADI PRINTING","Draft"
"STIC-BCULML6R1-W","STIC-BCULML6R0-W","Flow Through","no","","","2022-02-09","","MITRA ABADI PRINTING","MITRA ABADI PRINTING","Draft"
"STIC-BCULML7R1-W","STIC-BCULML7R0-W","Flow Through","no","","","2022-02-09","","MITRA ABADI PRINTING","MITRA ABADI PRINTING","Draft"
"STIC-BCULML8R1-W","STIC-BCULML8R0-W","Flow Through","no","","","2022-02-09","","MITRA ABADI PRINTING","MITRA ABADI PRINTING","Draft"
"STIC-BEESCR1-W","STIC-BOTEESC-WPSM","Flow Through","no","","","","","SATYAMITRA LABELJAYA P., PT","SATYAMITRA LABELJAYA P., PT","Draft"
"STIC-BEESPR1-W","STIC-BOTEESP-WPSM","Flow Through","no","","","","","SATYAMITRA LABELJAYA P., PT","SATYAMITRA LABELJAYA P., PT","Draft"
"STIC-BMKLC01R1-OMG","STIC-BMKLC01R0-OMG","Flow Through","yes","2021-12-27","","2021-07-30","","PELITA ABADI JAYA, CV","MITRA ABADI PRINTING; PT PARAGON TECHNOLOGY AND INNOVATION","Confirmed"
"STIC-BMKLC01R2-OMG","STIC-BMKLC01R1-OMG","Immediately","yes","2021-12-27","","2021-10-08","","PELITA ABADI JAYA, CV","PELITA ABADI JAYA, CV","Confirmed"
"STIC-BMKLC02R1-OMG","STIC-BMKLC02R0-OMG","Flow Through","yes","2021-12-27","","2021-07-30","","PELITA ABADI JAYA, CV","MITRA ABADI PRINTING; PT PARAGON TECHNOLOGY AND INNOVATION","Confirmed"
"STIC-BMKLC02R2-OMG","STIC-BMKLC02R1-OMG","Immediately","yes","2021-12-27","","2021-10-08","","PELITA ABADI JAYA, CV","PELITA ABADI JAYA, CV","Confirmed"
"STIC-BMKLC03R1-OMG","STIC-BMKLC03R0-OMG","Flow Through","yes","2021-12-27","","2021-07-30","","PELITA ABADI JAYA, CV","MITRA ABADI PRINTING; PT PARAGON TECHNOLOGY AND INNOVATION","Confirmed"
"STIC-BMKLC03R2-OMG","STIC-BMKLC03R1-OMG","Immediately","yes","2021-12-27","","2021-10-08","","PELITA ABADI JAYA, CV","PELITA ABADI JAYA, CV","Confirmed"
"STIC-BMKLC04R1-OMG","STIC-BMKLC04R0-OMG","Flow Through","yes","2021-12-27","","2021-08-02","","PELITA ABADI JAYA, CV","PT PARAGON TECHNOLOGY AND INNOVATION","Confirmed"
"STIC-BMKLC04R2-OMG","STIC-BMKLC04R1-OMG","Immediately","yes","2021-12-27","","2021-10-08","","PELITA ABADI JAYA, CV","PELITA ABADI JAYA, CV","Confirmed"
"STIC-BMKLC05R1-OMG","STIC-BMKLC05R0-OMG","Flow Through","yes","2021-12-27","","2021-08-02","","PELITA ABADI JAYA, CV","PT PARAGON TECHNOLOGY AND INNOVATION","Confirmed"
"STIC-BMKLC05R2-OMG","STIC-BMKLC05R1-OMG","Immediately","yes","2021-12-27","","2021-10-08","","PELITA ABADI JAYA, CV","PELITA ABADI JAYA, CV","Confirmed"
"STIC-BMKLC06R1-OMG","STIC-BMKLC06R0-OMG","Flow Through","yes","2021-12-27","","2021-08-02","","PELITA ABADI JAYA, CV","MITRA ABADI PRINTING; PT PARAGON TECHNOLOGY AND INNOVATION","Confirmed"
"STIC-BMKLC06R2-OMG","STIC-BMKLC06R1-OMG","Immediately","yes","2021-12-27","","2021-10-08","","PELITA ABADI JAYA, CV","PELITA ABADI JAYA, CV","Confirmed"
"STIC-BMKLC07R1-OMG","STIC-BMKLC07R0-OMG","Flow Through","yes","2021-12-27","","2021-08-02","","PELITA ABADI JAYA, CV","PT PARAGON TECHNOLOGY AND INNOVATION","Confirmed"
"STIC-BMKLC07R2-OMG","STIC-BMKLC07R1-OMG","Immediately","yes","2021-12-27","","2021-10-08","","PELITA ABADI JAYA, CV","PELITA ABADI JAYA, CV","Confirmed"
"STIC-BMKLC08R1-OMG","STIC-BMKLC08R0-OMG","Flow Through","yes","2021-12-27","","2021-08-02","","PELITA ABADI JAYA, CV","PT PARAGON TECHNOLOGY AND INNOVATION","Confirmed"
"STIC-BMKLC08R2-OMG","STIC-BMKLC08R1-OMG","Immediately","yes","2021-12-27","","2021-10-08","","PELITA ABADI JAYA, CV","PELITA ABADI JAYA, CV","Confirmed"
